Training Time	Loss	Iteration	Mean Reward (/100ep)	Best Mean Reward	Episodes	Exploration	Learning Rate
47451.37371015549	2.58369541168	2350000	1821.0	1946.4	10862	0.0208	5.375e-05
47662.75013947487	2.58369541168	2360000	1786.4	1946.4	10899	0.02008	5.35e-05
47874.48751115799	2.58369541168	2370000	1816.0	1946.4	10936	0.01935999999999999	5.325e-05
48081.300520181656	2.10593867302	2380000	1756.7	1946.4	10974	0.01863999999999999	5.300000000000001e-05
48291.81607294083	2.10593867302	2390000	1790.7	1946.4	11010	0.01791999999999999	5.275000000000001e-05
48499.37483215332	2.10593867302	2400000	1800.1	1946.4	11050	0.017199999999999993	5.25e-05
48710.93049573898	2.10593867302	2410000	1861.5	1946.4	11086	0.016479999999999995	5.225e-05
48922.705396175385	3.22852516174	2420000	1856.3	1946.4	11122	0.015759999999999996	5.2000000000000004e-05
49137.02557182312	3.22852516174	2430000	1825.0	1946.4	11159	0.015039999999999998	5.1750000000000004e-05
49346.78776335716	3.22852516174	2440000	1777.7	1946.4	11196	0.01432	5.1500000000000005e-05
49557.84729504585	3.22852516174	2450000	1839.7	1946.4	11233	0.013600000000000001	5.1250000000000006e-05
49768.78172707558	2.2597887516	2460000	1824.2	1946.4	11273	0.012880000000000003	5.1000000000000006e-05
49986.04063153267	2.2597887516	2470000	1844.7	1946.4	11311	0.01215999999999999	5.075e-05
50196.48926663399	2.2597887516	2480000	1832.7	1946.4	11347	0.011439999999999992	5.05e-05
50411.26411819458	2.2597887516	2490000	1746.6	1946.4	11386	0.010719999999999993	5.025e-05
50625.63001060486	2.96791768074	2500000	1734.8	1946.4	11423	0.01	5e-05
50836.943804740906	2.96791768074	2510000	1800.9	1946.4	11463	0.01	5e-05
51048.78311419487	2.96791768074	2520000	1944.3	1946.4	11502	0.01	5e-05
51261.04711890221	2.96791768074	2530000	1934.1	1963.6	11540	0.01	5e-05
51474.54797554016	2.56205582619	2540000	2019.2	2032.1	11576	0.01	5e-05
51681.5590903759	2.56205582619	2550000	1979.1	2032.1	11614	0.01	5e-05
51892.00727748871	2.56205582619	2560000	2000.6	2032.1	11651	0.01	5e-05
52103.368519067764	2.56205582619	2570000	1963.9	2032.1	11687	0.01	5e-05
52309.61826586723	3.58133721352	2580000	1940.0	2032.1	11723	0.01	5e-05
52525.649292469025	3.58133721352	2590000	1848.3	2032.1	11760	0.01	5e-05
52733.90592002869	3.58133721352	2600000	1947.8	2032.1	11796	0.01	5e-05
52943.938331604004	3.58133721352	2610000	1976.9	2032.1	11832	0.01	5e-05
53154.96663546562	1.67376613617	2620000	1989.6	2032.1	11869	0.01	5e-05
53367.19751429558	1.67376613617	2630000	1966.8	2032.1	11906	0.01	5e-05
53576.97194647789	1.67376613617	2640000	1937.2	2032.1	11942	0.01	5e-05
53787.20165991783	1.67376613617	2650000	1869.7	2032.1	11979	0.01	5e-05
53998.156421899796	2.57402062416	2660000	1855.2	2032.1	12016	0.01	5e-05
54206.55812549591	2.57402062416	2670000	1903.5	2032.1	12051	0.01	5e-05
54416.83097600937	2.57402062416	2680000	1919.7	2032.1	12087	0.01	5e-05
54628.782856464386	2.57402062416	2690000	1942.1	2032.1	12123	0.01	5e-05
54837.114751815796	2.99010896683	2700000	1920.9	2032.1	12157	0.01	5e-05
55050.19918560982	2.99010896683	2710000	1909.1	2032.1	12194	0.01	5e-05
55260.33044672012	2.99010896683	2720000	1915.7	2032.1	12231	0.01	5e-05
55470.058586359024	2.99010896683	2730000	1943.7	2032.1	12267	0.01	5e-05
55676.9906206131	2.50722384453	2740000	1973.6	2032.1	12302	0.01	5e-05
55885.16078853607	2.50722384453	2750000	1978.3	2032.1	12337	0.01	5e-05
56093.33581471443	2.50722384453	2760000	2045.3	2045.3	12373	0.01	5e-05
56295.66405439377	2.50722384453	2770000	2035.1	2062.5	12409	0.01	5e-05
56495.41629433632	1.92913854122	2780000	1969.6	2062.5	12446	0.01	5e-05
56693.88302898407	1.92913854122	2790000	1846.8	2062.5	12483	0.01	5e-05
